title,category,date,link,image
"Kuliah S2 Sambil Urus Balita, Sri Astutiningsih Raih IPK 4,00 di UGM",EDUKASI,06/05/2025,https://www.kompas.com/edu/read/2025/05/06/165230171/kuliah-s2-sambil-urus-balita-sri-astutiningsih-raih-ipk-400-di-ugm,https://asset.kompas.com/crops/VmXAWoIZIn1hBbRQXx0KhOV7bPs=/28x0:1238x807/230x153/data/photo/2025/05/06/6819bf30195a1.jpg
Kronologi Razman Nasution Dibawa ke Rumah Sakit Setelah Alami Pusing hingga Muntah,HYPE,06/05/2025,https://www.kompas.com/hype/read/2025/05/06/161248266/kronologi-razman-nasution-dibawa-ke-rumah-sakit-setelah-alami-pusing-hingga,https://asset.kompas.com/crops/Fv-fH0uvoJT-BpRgm-3HNwPdZ_I=/0x0:0x0/230x153/data/photo/2025/03/17/67d7f16bd5200.jpg
"Dokter Piprim: Saya Berprestasi Sangat Baik, tapi Dimutasi Mendadak Tanpa Dasar",NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16160441/dokter-piprim-saya-berprestasi-sangat-baik-tapi-dimutasi-mendadak-tanpa,https://asset.kompas.com/crops/iPxg_lEqRX4gc1MMQyDVE87pdQk=/0x0:0x0/230x153/data/photo/2022/11/20/6379b41ddf9be.jpg
"Gaji Rp 6 Juta, Gadis Ini Pilih ""Ngekos"" di Toilet Kantor biar Hemat",GLOBAL,06/05/2025,https://internasional.kompas.com/read/2025/05/06/180613070/gaji-rp-6-juta-gadis-ini-pilih-ngekos-di-toilet-kantor-biar-hemat,https://asset.kompas.com/crops/UGmijWcyxaPIW8EwRWu6sCzOtw0=/31x0:741x473/230x153/data/photo/2025/04/09/67f5fd6fb8167.jpg
"Dilakukan Luna Maya, Ini Makna Sungkeman Menjelang Pernikahan Adat Jawa",LIFESTYLE,06/05/2025,https://lifestyle.kompas.com/read/2025/05/06/173000420/dilakukan-luna-maya-ini-makna-sungkeman-menjelang-pernikahan-adat-jawa,https://asset.kompas.com/crops/1qJ7djSTPz__fSJKmGOFGBOulOs=/0x0:0x0/230x153/data/photo/2025/05/06/6819800c95393.jpg
Armuji Ungkap Kesaksian Eks Pegawai Sentoso Seal Bongkar Aktivitas dalam Gudang Milik Jan Hwa Diana,REGIONAL,06/05/2025,https://surabaya.kompas.com/read/2025/05/06/165634778/armuji-ungkap-kesaksian-eks-pegawai-sentoso-seal-bongkar-aktivitas-dalam,https://asset.kompas.com/crops/7uGpSw24hClaBtyEY25EcGYVglk=/0x0:0x0/230x153/data/photo/2025/05/06/681996bdbe70c.jpeg
"Viral, Soal ASPD SMP Yogyakarta Diduga Bocor, Dinas Pendidikan Masih Selidiki",REGIONAL,06/05/2025,https://yogyakarta.kompas.com/read/2025/05/06/181151578/viral-soal-aspd-smp-yogyakarta-diduga-bocor-dinas-pendidikan-masih,https://asset.kompas.com/crops/E6DuNmDtuEHvjjRMAZcCvsxvdTw=/176x717:1446x1563/230x153/data/photo/2024/08/01/66aba03d6ceab.png
"Renata Kusmanto Tak Tuntut Harta Gana-gini dari Fachri Albar, Hanya Minta Hak Asuh Anak",HYPE,06/05/2025,https://www.kompas.com/hype/read/2025/05/06/165213966/renata-kusmanto-tak-tuntut-harta-gana-gini-dari-fachri-albar-hanya-minta,https://asset.kompas.com/crops/Zsi_xXc5QoHLt-WR-tJk1Ht1oFY=/62x63:970x668/230x153/data/photo/2018/06/05/3674281778.jpg
"Canda Prabowo Sebut AHY dan Sugiono ""Purnawirawan Remaja"": Letkol Teddy Belum",NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/17581181/canda-prabowo-sebut-ahy-dan-sugiono-purnawirawan-remaja-letkol-teddy-belum,https://asset.kompas.com/crops/apukvqoyu8trBZp-yrodcXjuYlU=/0x0:0x0/230x153/data/photo/2025/05/06/6819dbb04a9d2.jpg
"Dua Kali Ditolak, Andre Taulany Kembali Gugat Cerai Rien Wartia untuk Ketiga Kali",HYPE,06/05/2025,https://www.kompas.com/hype/read/2025/05/06/191900566/dua-kali-ditolak-andre-taulany-kembali-gugat-cerai-rien-wartia-untuk-ketiga,https://asset.kompas.com/crops/It0YmlV8aX9nUPM5wW8lAXQEI4g=/0x387:1080x1107/230x153/data/photo/2024/08/08/66b4209b9c5f8.jpg
Kapolri Instruksikan Kapolda Sikat Premanisme yang Meresahkan,NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/16315411/kapolri-instruksikan-kapolda-sikat-premanisme-yang-meresahkan,https://asset.kompas.com/crops/V_4n8sUUYYszShzGeoHgJuuz3po=/0x0:0x0/230x153/data/photo/2025/03/28/67e67278746be.jpg
"Purnawirawan TNI AD: Pak Prabowo, Percayalah, Bapak Tidak Sendirian",NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/17282411/purnawirawan-tni-ad-pak-prabowo-percayalah-bapak-tidak-sendirian,https://asset.kompas.com/crops/8kDly-7P5XGzvGk8s9XV-MkO5vQ=/0x0:0x0/230x153/data/photo/2025/04/30/6811d0109541e.jpg
Saksi Sebut Laba Operasi Gula Tom Lembong Dipakai untuk Kesejahteraan Prajurit TNI-Polri,NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/20471751/saksi-sebut-laba-operasi-gula-tom-lembong-dipakai-untuk-kesejahteraan,https://asset.kompas.com/crops/dSES64jNnHaSUw9edT6sS2Gg6ZE=/0x0:0x0/230x153/data/photo/2025/05/06/6819ccc55c128.jpg
"Link Live Streaming Inter Vs Barca di Leg 2 Semifinal Liga Champions, Kickoff Rabu Pukul 02.00 WIB",PROV,06/05/2025,https://www.kompas.com/kalimantan-timur/read/2025/05/06/233132688/link-live-streaming-inter-vs-barca-di-leg-2-semifinal-liga,https://asset.kompas.com/crops/3qr1SlCXD-18jTwBaO1cigterzQ=/46x32:802x536/230x153/data/photo/2025/05/01/68128d49a0a74.jpg
Dokter Piprim Bongkar Banyak Dokter yang Dimutasi Kemenkes karena Mendukungnya,NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/20374371/dokter-piprim-bongkar-banyak-dokter-yang-dimutasi-kemenkes-karena,https://asset.kompas.com/crops/iPxg_lEqRX4gc1MMQyDVE87pdQk=/0x0:0x0/230x153/data/photo/2022/11/20/6379b41ddf9be.jpg
"Sentoso Seal Beroperasi meski Disegel, Armuji: Enggak Ada Jeranya, Orang Nekat",REGIONAL,06/05/2025,https://surabaya.kompas.com/read/2025/05/06/193732178/sentoso-seal-beroperasi-meski-disegel-armuji-enggak-ada-jeranya-orang-nekat,https://asset.kompas.com/crops/oGSgd01d1fQpKOoXsAR5NVqQnw4=/0x0:0x0/230x153/data/photo/2025/04/25/680b7881457a2.jpeg
Prabowo: Soeharto Tak Mau Berkuasa dengan Senjata,NEWS,06/05/2025,https://nasional.kompas.com/read/2025/05/06/19375211/prabowo-soeharto-tak-mau-berkuasa-dengan-senjata,https://asset.kompas.com/crops/ayNxurMpwiumTOq4rXgNjYu2BQ0=/0x0:0x0/230x153/data/photo/2025/05/06/6819eeae97bc2.jpg
"Daftar STAN 2025 Tak Pakai Nilai UTBK, Cek Syarat Nilai Rapor dan Ijazah",EDUKASI,06/05/2025,https://www.kompas.com/edu/read/2025/05/06/160813971/daftar-stan-2025-tak-pakai-nilai-utbk-cek-syarat-nilai-rapor-dan-ijazah,https://asset.kompas.com/crops/_Ak9iWUHHKK-Ng790mzegCfCFSg=/0x0:742x495/230x153/data/photo/2024/01/25/65b21d96697f2.jpg
"Ramai Warga Pindai Retina demi Uang Tunai, Ini Bahaya dan Risiko di Balik Worldcoin",PROV,06/05/2025,https://www.kompas.com/jawa-barat/read/2025/05/06/201353588/ramai-warga-pindai-retina-demi-uang-tunai-ini-bahaya-dan-risiko-di,https://asset.kompas.com/crops/FrQaiVxTpszyLiQUHj9jSk9yVHA=/291x135:1518x953/230x153/data/photo/2025/05/06/6819732111f5b.png
Daftar Lengkap 12 Korban Tewas dalam Kecelakaan Bus ALS di Padang Panjang,PROV,06/05/2025,https://www.kompas.com/jawa-barat/read/2025/05/06/174734688/daftar-lengkap-12-korban-tewas-dalam-kecelakaan-bus-als-di-padang,https://asset.kompas.com/crops/APXkognruWvj7Hm8vJSdW-OVe-s=/0x0:0x0/230x153/data/photo/2025/05/06/681992a0cf6b1.jpg
